Wilayah,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Stunting (%),IKP
dki jakarta - kepulauan seribu,5.0,15.06,55.79,19.3,54.18
dki jakarta - jakarta pusat,0.0,4.94,13.45,19.7,83.56
dki jakarta - jakarta utara,0.0,7.24,20.37,20.4,77.15
dki jakarta - jakarta barat,0.0,4.31,8.52,17.6,84.67
dki jakarta - jakarta selatan,0.0,3.56,6.58,15.7,85.38
dki jakarta - jakarta timur,0.0,4.28,11.02,13.4,84.56
jawa barat - bogor,2.87,8.13,25.27,28.6,68.61
jawa barat - sukabumi,0.78,7.7,41.01,24.2,77.29
jawa barat - cianjur,0.67,11.18,45.06,33.7,75.82
jawa barat - bandung,1.49,7.15,29.52,31.1,80.33
jawa barat - garut,0.49,10.65,58.49,35.2,74.49
jawa barat - tasikmalaya,0.69,11.15,45.19,24.4,75.88
jawa barat - ciamis,0.62,7.97,41.05,16.0,82.54
jawa barat - kuningan,0.62,13.1,44.7,18.7,80.24
jawa barat - cirebon,0.89,12.3,32.81,26.5,79.2
jawa barat - majalengka,0.41,12.33,46.16,23.0,79.44
jawa barat - sumedang,0.54,10.71,37.37,22.0,83.12
jawa barat - indramayu,0.26,13.04,44.05,14.4,84.64
jawa barat - subang,0.3,10.03,31.62,18.1,83.52
jawa barat - purwakarta,1.03,8.83,24.92,20.6,78.75
jawa barat - karawang,0.36,8.95,24.47,20.6,86.03
jawa barat - bekasi,0.98,5.21,22.54,21.5,86.15
jawa barat - bandung barat,1.81,11.3,48.45,29.6,71.59
jawa barat - pangandaran,0.53,9.65,37.13,22.7,81.12
jawa barat - kota bogor,0.0,7.24,14.51,16.9,76.38
jawa barat - kota sukabumi,0.0,8.25,21.35,19.1,68.96
jawa barat - kota bandung,0.0,4.37,15.65,26.4,80.23
jawa barat - kota cirebon,0.0,10.03,18.98,30.6,70.28
jawa barat - kota bekasi,0.0,4.74,8.7,13.8,86.79
jawa barat - kota depok,0.0,2.58,5.47,12.3,85.07
jawa barat - kota cimahi,0.0,5.35,15.53,19.9,80.08
jawa barat - kota tasikmalaya,0.0,13.13,31.34,28.9,55.38
jawa barat - kota banjar,0.0,7.11,33.82,23.9,61.91
jawa tengah - cilacap,0.44,11.67,30.17,17.9,83.23
jawa tengah - banyumas,1.03,13.66,24.71,21.6,79.02
jawa tengah - purbalingga,0.94,16.24,19.94,16.8,79.25
jawa tengah - banjarnegara,0.89,16.23,21.78,23.3,78.61
jawa tengah - kebumen,0.57,17.83,28.18,15.9,79.29
jawa tengah - purworejo,0.5,12.4,27.88,15.7,84.48
jawa tengah - wonosobo,0.88,17.67,26.52,28.1,78.42
jawa tengah - magelang,1.13,11.91,24.25,22.3,79.44
jawa tengah - boyolali,0.47,10.62,17.76,20.7,85.26
jawa tengah - klaten,0.54,13.49,27.06,15.8,84.13
jawa tengah - sukoharjo,0.49,8.23,13.73,20.0,89.11
jawa tengah - wonogiri,0.17,11.55,16.17,14.0,88.15
jawa tengah - karanganyar,0.52,10.68,19.01,16.2,87.39
jawa tengah - sragen,0.22,13.83,21.76,18.8,87.53
jawa tengah - grobogan,0.23,12.74,34.16,9.6,87.27
jawa tengah - blora,0.23,12.39,35.85,21.5,87.03
jawa tengah - rembang,0.36,15.8,30.0,18.7,84.73
jawa tengah - pati,0.27,10.21,21.0,20.6,88.01
jawa tengah - kudus,0.8,7.6,10.82,17.6,87.21
jawa tengah - jepara,0.64,7.44,20.3,25.0,85.06
jawa tengah - demak,0.31,12.92,25.79,25.5,87.38
jawa tengah - semarang,1.03,7.82,15.86,16.4,86.31
jawa tengah - temanggung,1.56,10.17,14.25,20.5,80.08
jawa tengah - kendal,0.67,10.24,20.61,21.2,84.69
jawa tengah - batang,0.78,9.68,28.43,21.7,83.19
jawa tengah - pekalongan,0.91,10.57,32.41,19.5,80.39
jawa tengah - pemalang,0.61,16.56,38.61,24.7,78.51
jawa tengah - tegal,0.72,8.6,25.96,28.0,81.18
jawa tengah - brebes,0.66,17.43,27.58,26.3,76.74
jawa tengah - kota magelang,0.0,7.75,16.05,13.3,82.09
jawa tengah - kota surakarta,0.0,9.4,8.1,20.4,80.27
jawa tengah - kota salatiga,0.0,5.14,6.96,15.2,87.39
jawa tengah - kota semarang,0.0,4.56,6.75,21.3,87.13
jawa tengah - kota pekalongan,0.0,7.59,13.28,20.6,69.66
jawa tengah - kota tegal,0.0,8.12,16.85,23.9,75.71
di yogyakarta - kulon progo,0.66,18.38,20.99,14.9,82.82
di yogyakarta - bantul,1.17,14.04,22.45,19.1,80.38
di yogyakarta - gunungkidul,0.2,17.69,37.81,20.6,78.74
di yogyakarta - sleman,1.46,8.64,10.4,16.0,83.16
di yogyakarta - kota yogyakarta,0.0,7.69,7.4,17.1,79.28
jawa timur - pacitan,0.51,15.11,37.23,22.7,77.73
jawa timur - ponorogo,0.26,10.26,25.08,20.0,86.2
jawa timur - trenggalek,0.47,12.14,32.96,18.1,80.68
jawa timur - tulungagung,0.47,7.51,24.68,13.1,86.05
jawa timur - blitar,0.58,9.65,20.42,14.5,84.34
jawa timur - kediri,0.87,11.64,27.2,18.0,79.16
jawa timur - malang,1.0,10.5,29.76,25.7,79.26
jawa timur - lumajang,0.54,10.05,38.82,30.1,79.34
jawa timur - jember,0.59,10.41,36.36,23.9,78.34
jawa timur - banyuwangi,0.5,8.07,18.79,20.1,83.82
jawa timur - bondowoso,0.4,14.73,45.07,37.0,73.78
jawa timur - situbondo,0.44,12.63,46.77,23.7,76.31
jawa timur - probolinggo,0.7,18.91,43.32,23.3,73.0
jawa timur - pasuruan,0.91,9.7,43.68,21.5,77.4
jawa timur - sidoarjo,1.88,5.93,10.64,14.8,82.87
jawa timur - mojokerto,0.52,10.62,31.31,27.4,84.06
jawa timur - jombang,0.57,10.0,30.42,21.2,83.89
jawa timur - nganjuk,0.38,11.85,38.94,25.3,81.82
jawa timur - madiun,0.28,11.91,29.8,15.9,83.93
jawa timur - magetan,0.32,10.66,33.84,17.2,86.36
jawa timur - ngawi,0.17,15.57,29.66,16.2,85.01
jawa timur - bojonegoro,0.29,13.27,28.33,23.9,83.55
jawa timur - tuban,0.27,16.31,31.56,25.1,83.02
jawa timur - lamongan,0.26,13.86,24.9,20.5,85.86
jawa timur - gresik,0.57,12.42,18.54,23.0,86.81
jawa timur - bangkalan,0.61,21.57,58.03,38.9,70.59
jawa timur - sampang,0.43,23.76,57.79,17.2,73.25
jawa timur - pamekasan,0.79,15.3,38.55,38.7,74.41
jawa timur - sumenep,0.5,20.51,52.51,29.0,74.01
jawa timur - kota kediri,0.0,7.75,10.29,15.7,73.95
jawa timur - kota blitar,0.0,7.89,9.19,12.9,74.57
jawa timur - kota malang,0.0,4.62,6.51,25.7,80.8
jawa timur - kota probolinggo,0.0,7.44,7.41,19.0,73.83
jawa timur - kota pasuruan,0.0,6.88,22.4,22.1,71.21
jawa timur - kota mojokerto,0.0,6.39,12.11,6.9,81.43
jawa timur - kota madiun,0.0,5.09,6.49,12.4,85.32
jawa timur - kota surabaya,0.0,5.23,9.38,28.9,81.59
jawa timur - kota batu,0.0,4.09,7.04,15.0,76.86
banten - pandeglang,0.51,10.72,38.1,37.8,72.32
banten - lebak,0.65,10.29,41.24,27.3,71.96
banten - tangerang,1.82,7.12,23.46,23.3,77.0
banten - serang,0.77,5.49,33.0,27.2,78.63
banten - kota tangerang,0.0,5.93,11.31,15.3,79.08
banten - kota cilegon,0.0,4.24,13.48,20.6,72.63
banten - kota serang,0.0,6.79,27.55,23.4,59.88
banten - kota tangerang selatan,0.0,2.57,4.1,19.9,78.74
bali - jembrana,1.13,5.06,12.7,14.3,83.29
bali - tabanan,0.49,5.12,5.14,9.2,92.2
bali - badung,1.09,2.62,4.33,8.7,91.29
bali - gianyar,0.8,4.85,4.37,5.1,91.07
bali - klungkung,1.04,5.64,16.65,19.4,83.29
bali - bangli,1.95,5.09,14.84,11.8,75.1
bali - karangasem,0.98,6.78,18.06,22.9,78.79
bali - buleleng,1.49,6.12,28.71,8.9,79.91
bali - kota denpasar,0.0,2.96,3.46,9.0,91.82
