Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
aceh - aceh selatan,5,0.78,13.18,52.86,0.00,46.34,8.75,2.43,64.40,27.30,71.02,274,
aceh - aceh tenggara,6,0.28,13.41,38.71,0.00,41.55,9.62,2.87,68.22,34.10,77.39,188,
aceh - aceh timur,6,0.52,14.45,32.76,0.00,33.96,8.66,2.01,68.74,38.20,76.55,200,
aceh - aceh tengah,4,2.57,15.26,28.92,0.24,42.25,10.10,2.45,68.86,34.30,63.93,326,
aceh - aceh barat,6,0.56,18.81,38.49,0.00,21.76,10.22,1.82,67.99,27.40,77.56,184,
aceh - aceh besar,6,0.36,14.05,42.98,0.26,16.28,10.47,1.74,69.79,32.40,81.49,100,
aceh - pidie,5,0.39,19.59,48.92,0.10,38.86,8.91,0.74,66.95,39.30,72.52,256,
aceh - aceh utara,6,0.30,17.43,46.27,0.14,34.26,9.18,0.72,68.81,38.80,75.85,211,
aceh - simeulue,5,0.97,18.98,35.65,0.49,16.13,9.63,2.13,65.28,25.90,74.63,229,
aceh - aceh singkil,3,3.97,20.36,42.55,0.00,40.41,9.18,2.41,67.43,29.60,51.88,375,
aceh - bireuen,6,0.47,13.25,55.71,0.44,30.81,9.47,0.52,71.26,24.30,78.79,159,
aceh - aceh barat daya,6,0.36,16.34,41.58,0.00,28.54,8.95,1.46,65.06,33.20,75.91,205,
aceh - gayo lues,5,0.64,19.64,39.67,0.00,24.93,8.63,9.90,65.53,42.90,72.31,260,
aceh - aceh jaya,6,0.31,13.23,45.81,0.56,29.90,8.74,4.56,67.19,33.70,77.41,186,
aceh - nagan raya,5,0.71,18.23,49.36,0.00,27.00,8.89,2.39,69.24,32.50,74.47,232,
aceh - aceh tamiang,6,0.74,13.34,34.54,0.21,18.58,9.37,1.18,69.63,30.80,79.33,149,
aceh - bener meriah,2,5.00,19.16,23.94,0.00,39.70,10.18,0.96,69.26,40.00,48.14,381,
aceh - pidie jaya,6,0.29,19.55,53.05,0.17,35.70,9.56,0.65,70.18,29.00,76.06,204,
aceh - kota banda aceh,6,0.00,7.61,4.24,0.00,0.23,13.26,0.02,71.52,23.40,84.36,16,
aceh - kota sabang,5,0.00,15.32,25.70,0.00,6.22,11.06,0.41,70.56,23.80,61.70,85,
aceh - kota lhokseumawe,5,0.00,11.16,23.87,0.00,3.55,11.53,0.09,71.64,27.40,69.34,75,
aceh - kota langsa,5,0.00,10.96,12.54,0.00,8.85,11.19,0.21,69.43,25.50,69.15,76,
aceh - kota subulussalam,1,0.00,17.65,31.22,0.00,50.76,9.08,1.98,64.07,41.80,23.93,98,
sumatera utara - tapanuli tengah,5,1.27,12.67,40.39,3.13,45.60,9.08,1.39,67.24,25.30,70.89,277,
sumatera utara - tapanuli utara,6,0.32,9.72,57.61,0.20,53.68,9.96,2.45,68.76,26.70,76.30,203,
sumatera utara - tapanuli selatan,5,0.55,8.80,47.64,5.03,55.63,9.07,5.79,64.97,30.80,72.68,255,
sumatera utara - nias,5,0.70,16.82,25.99,7.60,65.66,6.98,1.82,69.78,32.10,69.99,287,
sumatera utara - langkat,5,1.24,10.12,37.53,0.00,25.98,8.62,1.83,68.97,31.50,75.36,215,
sumatera utara - karo,6,0.21,8.79,55.65,0.83,44.61,10.10,1.44,71.58,25.30,80.36,124,
sumatera utara - deli serdang,6,0.85,4.01,21.84,0.00,14.70,10.18,0.50,71.77,12.50,87.15,12,
sumatera utara - simalungun,6,0.51,8.81,35.03,0.56,35.87,9.42,1.76,71.37,28.00,80.84,114,
sumatera utara - asahan,5,2.15,9.35,26.39,0.40,29.64,8.95,1.87,68.37,18.90,71.65,266,
sumatera utara - labuhanbatu,6,1.48,8.74,27.20,0.01,32.10,9.63,1.13,69.95,27.00,75.83,212,
sumatera utara - dairi,6,0.30,8.31,38.01,0.32,39.12,9.67,1.98,69.19,34.20,80.17,132,
sumatera utara - toba samosir,6,0.26,8.99,47.88,0.55,28.55,10.64,2.09,70.29,24.80,82.79,77,
sumatera utara - mandailing natal,4,1.17,9.49,51.54,1.60,52.61,8.88,2.92,62.65,47.70,66.36,317,
sumatera utara - nias selatan,4,0.90,16.92,42.57,10.78,68.33,6.98,1.31,68.86,36.70,65.80,318,
sumatera utara - pakpak bharat,5,0.98,9.35,35.18,1.05,57.88,9.18,3.37,65.96,40.80,70.52,284,
sumatera utara - humbang hasundutan,6,0.39,9.65,42.39,0.74,50.38,9.87,3.27,69.51,26.70,77.91,178,
sumatera utara - samosir,5,0.41,12.68,51.23,1.56,56.55,8.98,3.62,71.41,28.40,75.06,220,
sumatera utara - serdang bedagai,6,0.22,8.30,38.08,0.05,35.72,9.06,1.42,68.82,20.00,82.13,87,
sumatera utara - batu bara,5,0.96,12.38,30.01,0.21,34.16,8.20,0.94,67.13,30.90,74.65,228,
sumatera utara - padang lawas utara,5,1.43,9.92,42.84,1.05,35.71,9.56,3.47,67.22,33.10,71.74,264,
sumatera utara - padang lawas,5,1.60,8.69,38.11,1.47,31.81,9.06,3.15,67.13,42.00,70.97,275,
sumatera utara - labuhanbatu selatan,3,5.00,8.53,20.97,1.62,29.48,9.50,3.27,68.81,27.00,54.52,366,
sumatera utara - labuhanbatu utara,5,1.80,10.02,32.29,0.74,35.03,8.68,2.25,69.56,30.90,71.34,269,
sumatera utara - nias utara,4,0.63,25.66,40.92,8.79,54.29,7.22,1.50,69.55,34.40,67.12,311,
sumatera utara - nias barat,4,1.37,26.42,23.47,6.71,80.40,7.33,0.81,69.08,27.90,60.60,340,
sumatera utara - kota medan,6,0.00,8.34,8.15,0.00,3.19,11.45,0.02,73.23,19.90,80.93,30,
sumatera utara - kota pematangsiantar,6,0.00,8.52,16.58,0.00,6.88,11.56,0.03,73.77,15.00,78.42,44,
sumatera utara - kota sibolga,5,0.00,12.33,26.84,0.00,9.39,10.46,0.05,69.25,25.80,62.01,83,
sumatera utara - kota tanjung balai,4,0.00,13.40,37.00,0.00,1.53,9.77,0.12,63.44,26.10,53.17,94,
sumatera utara - kota binjai,6,0.00,5.81,19.72,0.00,10.04,10.74,0.03,72.45,21.70,74.89,53,
sumatera utara - kota tebing tinggi,5,0.00,10.30,15.85,0.00,25.42,10.58,0.03,70.95,17.30,66.47,79,
sumatera utara - kota padang sidimpuan,4,0.00,7.53,26.64,0.26,34.06,11.35,0.10,69.50,32.10,57.96,90,
sumatera utara - kota gunungsitoli,3,0.00,16.45,24.94,1.13,36.46,8.59,0.41,71.32,26.30,43.70,97,
sumatera barat - pesisir selatan,6,0.43,7.92,27.12,1.10,25.51,8.66,3.19,70.96,25.20,83.53,58,
sumatera barat - solok,6,0.37,8.01,39.90,0.64,36.46,7.93,3.48,68.79,40.10,78.29,173,
sumatera barat - sijunjung,6,0.79,6.80,22.66,2.06,35.55,8.50,3.83,66.36,30.10,77.88,180,
sumatera barat - tanah datar,6,0.30,4.54,34.60,0.38,20.71,8.89,1.40,70.12,21.50,85.92,25,
sumatera barat - padang pariaman,6,0.56,7.22,30.09,1.58,26.93,8.19,1.34,68.97,28.30,81.14,106,
sumatera barat - agam,6,0.45,6.85,29.02,0.37,25.10,8.99,1.89,72.53,19.10,85.34,31,
sumatera barat - lima puluh kota,6,0.44,7.29,38.06,0.87,36.53,8.69,3.89,69.84,28.20,80.32,127,
sumatera barat - pasaman,6,0.31,7.48,32.42,0.89,29.97,8.03,3.64,67.59,30.20,80.93,112,
sumatera barat - kepulauan mentawai,3,2.78,14.84,41.04,25.66,72.75,7.67,7.92,64.73,27.30,52.48,373,
sumatera barat - dharmasraya,6,1.28,6.67,14.93,0.44,23.91,8.98,2.52,71.53,19.50,81.15,105,
sumatera barat - solok selatan,6,0.33,7.52,29.94,1.54,23.34,9.08,4.91,68.01,24.50,83.20,68,
sumatera barat - pasaman barat,6,0.44,7.51,36.62,1.32,33.09,9.45,2.64,67.94,24.00,80.82,115,
sumatera barat - kota padang,6,0.00,4.94,9.04,0.07,4.13,11.75,0.10,73.69,18.90,84.14,18,
sumatera barat - kota solok,6,0.00,3.12,14.72,0.04,1.79,11.38,0.07,73.73,18.50,84.44,15,
sumatera barat - kota sawahlunto,6,0.00,2.38,16.27,0.63,8.59,10.75,0.48,70.10,21.10,73.85,60,
sumatera barat - kota padang panjang,6,0.00,5.92,11.04,0.00,10.32,11.68,0.05,72.82,20.00,79.82,37,
sumatera barat - kota bukittinggi,6,0.00,5.14,10.21,0.00,4.79,11.77,0.02,74.50,19.00,84.66,12,
sumatera barat - kota payakumbuh,6,0.00,6.16,12.72,0.00,1.91,11.28,0.11,73.84,20.00,81.73,24,
sumatera barat - kota pariaman,5,0.00,4.38,27.70,0.00,17.21,11.07,0.09,70.38,20.30,69.93,73,
riau - kampar,3,5.00,7.82,21.70,0.00,26.15,9.49,5.48,70.83,25.70,56.28,362,
riau - indragiri hulu,3,5.00,6.18,10.64,0.98,20.22,8.20,5.09,70.26,23.60,57.96,355,
riau - bengkalis,4,3.83,6.64,19.58,1.26,39.60,9.59,3.83,71.24,21.90,62.61,332,
riau - indragiri hilir,5,1.30,6.18,34.58,8.59,70.89,7.53,6.05,67.98,28.40,68.38,300,
riau - pelalawan,5,2.91,9.63,18.40,2.41,19.67,9.05,8.70,71.24,21.20,69.68,289,
riau - rokan hulu,3,5.00,10.40,25.71,1.18,22.16,8.95,4.42,70.18,25.80,54.91,365,
riau - rokan hilir,4,2.87,7.18,26.06,1.80,36.06,8.46,4.24,70.39,29.70,66.46,315,
riau - siak,6,2.43,5.18,13.31,0.00,13.02,10.22,5.74,71.13,19.00,76.87,197,
riau - kuantan singingi,5,2.54,8.97,13.69,0.00,25.44,8.79,4.65,68.60,22.40,70.70,278,
riau - kepulauan meranti,5,0.10,25.68,14.15,3.44,92.29,8.29,5.43,67.78,23.30,68.06,304,
riau - kota pekanbaru,6,0.00,2.83,7.74,0.16,6.14,11.93,0.08,72.41,11.40,86.56,6,
riau - kota dumai,6,0.00,3.42,11.43,0.35,9.61,10.31,1.03,70.98,23.00,72.63,68,
jambi - kerinci,6,0.41,7.71,23.88,0.26,35.72,8.57,2.50,70.00,26.70,81.94,90,
jambi - merangin,5,1.66,9.11,35.20,1.71,53.15,8.16,3.73,71.29,19.70,71.02,273,
jambi - sarolangun,4,2.87,8.87,21.43,0.00,50.42,8.50,5.30,69.21,21.40,64.47,324,
jambi - batanghari,5,2.16,10.05,21.94,2.10,36.69,8.39,4.47,70.64,24.50,70.52,282,
jambi - muaro jambi,4,3.46,4.53,21.90,1.46,34.63,8.82,3.93,71.32,27.20,65.37,322,
jambi - tanjung jabung barat,5,1.78,10.75,27.47,0.88,49.18,8.34,3.73,68.17,19.80,69.66,290,
jambi - tanjung jabung timur,5,1.14,11.39,31.67,0.53,51.23,7.34,5.91,66.34,25.60,70.65,279,
jambi - bungo,4,3.40,6.23,22.81,1.38,37.93,7.94,2.58,67.83,22.90,62.93,331,
jambi - tebo,5,2.30,6.68,25.15,0.84,33.16,7.82,5.18,70.02,26.20,70.52,283,
jambi - kota jambi,6,0.00,9.02,10.07,0.00,8.38,11.16,0.05,72.71,17.40,77.50,47,
jambi - kota sungai penuh,4,0.00,3.41,24.33,3.62,9.77,10.38,0.46,72.21,25.00,59.92,87,
sumatera selatan - ogan komering ulu,5,1.91,12.62,23.28,0.32,28.02,9.05,2.29,68.24,31.10,71.10,272,
sumatera selatan - ogan komering ilir,6,0.29,14.68,33.22,1.24,42.63,7.10,7.54,68.67,32.20,75.89,206,
sumatera selatan - muara enim,5,1.88,12.32,16.47,0.51,31.70,7.94,3.20,69.02,29.70,71.29,270,
sumatera selatan - lahat,5,1.13,16.46,34.32,0.56,35.75,8.76,2.97,66.16,22.40,72.00,261,
sumatera selatan - musi rawas,6,0.45,13.89,26.72,0.68,36.65,7.58,4.07,68.26,28.30,77.38,189,
sumatera selatan - musi banyuasin,6,0.62,15.84,14.36,2.50,33.05,7.86,5.97,68.84,23.00,77.89,179,
sumatera selatan - banyuasin,6,0.16,10.75,38.39,0.42,52.91,7.89,5.55,69.06,22.00,77.97,176,
sumatera selatan - ogan komering ulu timur,6,0.18,10.60,23.23,0.33,42.36,7.62,1.20,69.17,21.50,81.01,110,
sumatera selatan - ogan komering ulu selatan,5,0.37,11.12,51.63,6.16,49.26,7.94,4.27,67.07,24.80,74.46,233,
sumatera selatan - ogan ilir,5,0.92,13.82,42.79,0.85,29.38,7.96,1.67,65.60,29.20,73.28,250,
sumatera selatan - empat lawang,4,1.14,13.35,44.05,4.85,72.25,7.89,2.71,65.13,26.00,65.25,323,
sumatera selatan - penukal abab lematang ilir,5,1.49,12.91,16.48,0.33,37.94,6.51,2.12,68.33,20.20,72.46,257,
sumatera selatan - musi rawas utara,3,2.47,20.11,35.05,1.34,45.78,7.55,6.71,65.76,28.30,59.23,347,
sumatera selatan - kota palembang,6,0.00,11.34,12.54,0.00,2.44,10.94,0.04,71.01,16.10,74.71,54,
sumatera selatan - kota pagar alam,3,0.00,9.40,34.30,0.39,39.28,9.62,1.00,66.85,15.50,46.47,95,
sumatera selatan - kota lubuklinggau,4,0.00,13.23,21.25,0.01,33.42,9.47,0.30,69.39,22.80,53.71,93,
sumatera selatan - kota prabumulih,4,0.00,12.20,15.38,0.21,29.33,9.84,0.14,70.47,22.00,59.71,89,
bengkulu - bengkulu selatan,5,0.49,18.16,34.41,0.13,55.74,9.32,1.11,67.93,20.80,73.67,243,
bengkulu - rejang lebong,4,1.72,15.85,24.14,0.73,61.38,9.02,1.31,68.75,26.00,66.68,314,
bengkulu - bengkulu utara,3,3.48,11.61,26.01,0.42,54.15,8.24,3.15,68.27,20.70,58.31,353,
bengkulu - kaur,5,0.99,18.62,42.07,0.36,41.77,8.23,4.22,66.73,11.30,71.51,268,
bengkulu - seluma,5,0.76,18.72,28.10,1.46,72.94,8.12,2.38,67.90,24.70,68.54,299,
bengkulu - mukomuko,5,1.57,11.93,22.60,0.00,38.32,8.33,3.62,66.73,22.20,71.78,263,
bengkulu - lebong,5,0.41,12.00,37.32,0.58,46.33,8.59,3.65,63.40,23.30,74.86,224,
bengkulu - kepahiang,4,1.79,14.83,24.73,1.91,56.10,8.68,0.85,68.08,22.90,67.14,310,
bengkulu - bengkulu tengah,4,2.94,9.68,24.87,0.65,50.87,7.60,1.80,68.19,25.50,62.12,334,
bengkulu - kota bengkulu,5,0.00,17.89,8.20,0.05,13.23,11.67,0.06,70.20,22.20,65.29,81,
lampung - lampung selatan,6,0.31,14.19,27.47,0.32,24.91,7.74,1.03,69.42,16.30,81.81,94,
lampung - lampung tengah,6,0.16,11.99,26.61,0.34,39.77,7.66,1.46,69.87,20.80,81.07,108,
lampung - lampung utara,5,0.16,19.63,37.86,1.07,55.88,8.65,1.27,69.30,20.20,75.00,223,
lampung - lampung barat,5,0.83,12.82,24.57,0.33,50.04,8.15,2.17,67.65,22.70,74.34,236,
lampung - tulang bawang,6,0.13,9.67,21.18,0.00,24.40,7.95,2.47,70.01,9.50,86.25,18,
lampung - tanggamus,5,0.92,11.81,25.63,0.26,52.61,7.55,2.18,68.67,25.00,73.60,246,
lampung - lampung timur,6,0.16,15.08,26.83,0.08,27.72,7.95,2.09,70.78,15.30,82.78,79,
lampung - way kanan,6,0.24,13.09,31.15,0.49,47.27,7.54,2.68,69.46,20.70,78.34,172,
lampung - pesawaran,6,0.42,15.11,34.61,0.00,38.58,7.77,1.14,69.15,17.60,77.86,181,
lampung - pringsewu,6,0.49,10.11,26.15,0.12,15.85,8.18,0.38,70.27,19.00,84.14,48,
lampung - mesuji,6,0.12,7.54,16.62,0.95,21.83,7.60,3.30,68.26,21.80,85.62,28,
lampung - tulang bawang barat,6,0.14,8.32,19.15,0.10,62.73,7.91,1.64,70.03,22.10,79.84,138,
lampung - pesisir barat,5,0.40,14.81,31.59,4.14,62.91,8.71,4.78,63.66,22.80,71.71,265,
lampung - kota bandar lampung,6,0.00,9.11,10.90,0.19,11.87,10.91,0.03,71.42,19.40,73.41,62,
lampung - kota metro,6,0.00,8.93,11.70,0.00,14.78,11.03,0.04,71.66,19.70,73.35,64,
kepulauan bangka belitung - bangka,6,1.63,4.81,14.81,0.52,18.74,8.40,1.74,71.14,17.50,80.26,129,
kepulauan bangka belitung - belitung,4,5.00,7.15,9.38,0.08,6.11,8.52,2.50,71.10,13.80,61.55,336,
kepulauan bangka belitung - bangka selatan,6,0.60,3.69,28.79,0.13,20.25,7.29,5.47,68.35,19.40,83.38,60,
kepulauan bangka belitung - bangka tengah,3,5.00,5.13,18.08,0.00,23.80,7.57,2.81,71.52,20.00,57.97,354,
kepulauan bangka belitung - bangka barat,5,2.11,2.75,17.18,0.42,29.47,8.18,3.26,70.08,23.50,75.05,221,
kepulauan bangka belitung - belitung timur,4,4.95,7.20,12.76,0.47,10.58,8.77,3.93,72.10,22.60,60.50,341,
kepulauan bangka belitung - kota pangkalpinang,6,0.00,4.76,5.07,0.00,6.29,10.25,0.07,73.41,16.70,83.25,21,
kepulauan riau - bintan,3,5.00,6.42,10.47,0.79,28.80,9.04,1.42,70.46,20.00,57.68,358,
kepulauan riau - karimun,3,5.00,6.85,13.93,0.51,20.13,8.38,0.85,71.11,17.60,58.76,350,
kepulauan riau - natuna,3,5.00,4.95,8.23,0.74,18.66,9.13,2.72,65.31,17.80,57.86,356,
kepulauan riau - lingga,3,3.57,13.93,23.55,3.44,20.93,7.72,3.78,62.39,25.40,58.43,351,
kepulauan riau - kepulauan anambas,3,5.00,7.09,8.63,0.17,36.05,7.51,1.13,67.36,21.70,54.19,367,
kepulauan riau - kota batam,6,0.00,5.05,4.91,0.03,1.19,11.21,0.22,73.36,17.50,85.23,9,
kepulauan riau - kota tanjungpinang,6,0.00,9.57,5.14,0.00,12.61,10.10,0.10,72.18,18.80,74.67,55,
dki jakarta - kepulauan seribu,3,5.00,15.06,55.79,0.00,0.48,8.87,0.05,68.99,19.30,54.18,368,
dki jakarta - jakarta pusat,6,0.00,4.94,13.45,0.00,1.65,11.27,0.00,74.19,19.70,83.56,20,
dki jakarta - jakarta utara,6,0.00,7.24,20.37,0.00,0.62,10.53,0.02,73.35,20.40,77.15,48,
dki jakarta - jakarta barat,6,0.00,4.31,8.52,0.00,2.20,10.62,0.01,73.69,17.60,84.67,11,
dki jakarta - jakarta selatan,6,0.00,3.56,6.58,0.00,10.91,11.37,0.01,74.20,15.70,85.38,7,
dki jakarta - jakarta timur,6,0.00,4.28,11.02,0.00,8.69,11.29,0.01,74.54,13.40,84.56,14,
jawa barat - bogor,5,2.87,8.13,25.27,0.13,25.75,8.48,0.29,71.36,28.60,68.61,297,
jawa barat - sukabumi,6,0.78,7.70,41.01,0.00,43.46,7.39,0.94,71.21,24.20,77.29,190,
jawa barat - cianjur,6,0.67,11.18,45.06,0.29,36.30,7.02,0.93,70.32,33.70,75.82,213,
jawa barat - bandung,6,1.49,7.15,29.52,0.00,12.19,9.26,0.35,73.72,31.10,80.33,126,
jawa barat - garut,5,0.49,10.65,58.49,0.11,51.46,7.66,0.61,71.59,35.20,74.49,231,
jawa barat - tasikmalaya,6,0.69,11.15,45.19,0.13,42.14,7.83,0.99,69.67,24.40,75.88,208,
jawa barat - ciamis,6,0.62,7.97,41.05,0.11,24.76,8.07,0.60,72.02,16.00,82.54,82,
jawa barat - kuningan,6,0.62,13.10,44.70,0.00,28.30,8.00,0.39,73.78,18.70,80.24,130,
jawa barat - cirebon,6,0.89,12.30,32.81,0.00,21.56,7.56,0.18,72.18,26.50,79.20,153,
jawa barat - majalengka,6,0.41,12.33,46.16,0.07,28.67,7.46,0.44,70.46,23.00,79.44,147,
